Date, Close
"03/2022, ""7,155.64"""
"02/2022, ""7,458.25"""
"01/2022, ""7,464.37"""
"12/2021, ""7,384.54"""
"11/2021, ""7,059.45"""
"10/2021, ""7,237.57"""
"09/2021, ""7,086.42"""
"08/2021, ""7,119.70"""
"07/2021, ""7,032.30"""
"06/2021, ""7,037.47"""
"05/2021, ""7,022.61"""
"04/2021, ""6,969.81"""
"03/2021, ""6,713.63"""
"02/2021, ""6,528.72"""
"01/2021, ""6,407.46"""
"12/2020, ""6,460.52"""
"11/2020, ""6,266.19"""
"10/2020, ""5,577.27"""
"09/2020, ""5,866.10"""
"08/2020, ""5,963.57"""
"07/2020, ""5,897.76"""
"06/2020, ""6,169.74"""
"05/2020, ""6,076.60"""
"04/2020, ""5,901.21"""
"03/2020, ""5,671.96"""
"02/2020, ""6,580.61"""
"01/2020, ""7,587.85"""
"12/2019, ""7,542.44"""
"11/2019, ""7,346.53"""
"10/2019, ""7,248.38"""
"09/2019, ""7,408.21"""
"08/2019, ""7,207.18"""
"07/2019, ""7,586.78"""
"06/2019, ""7,425.63"""
"05/2019, ""7,161.71"""
"04/2019, ""7,418.22"""
"03/2019, ""7,279.19"""
"02/2019, ""7,074.73"""
"01/2019, ""6,968.85"""
