"Date"",""Open"",""High"",""Low"",""Close"
"03/2022"",""96.77"",""99.42"",""96.63"",""99.06"
"02/2022"",""96.70"",""97.74"",""95.14"",""96.71"
"01/2022"",""95.65"",""97.44"",""94.63"",""96.54"
"12/2021"",""95.94"",""96.91"",""95.57"",""95.97"
"11/2021"",""94.14"",""96.94"",""93.82"",""95.99"
"10/2021"",""94.31"",""94.56"",""93.28"",""94.12"
"09/2021"",""92.66"",""94.50"",""91.95"",""94.23"
"08/2021"",""92.09"",""93.73"",""91.82"",""92.63"
"07/2021"",""92.35"",""93.19"",""91.78"",""92.17"
"06/2021"",""89.81"",""92.45"",""89.66"",""92.44"
"05/2021"",""91.30"",""91.44"",""89.54"",""90.03"
"04/2021"",""93.22"",""93.34"",""90.42"",""91.28"
"03/2021"",""91.94"",""93.44"",""91.30"",""93.23"
"02/2021"",""90.53"",""91.06"",""90.50"",""90.98"
"01/2021"",""89.93"",""90.95"",""89.21"",""90.58"
"12/2020"",""91.95"",""91.95"",""89.56"",""89.93"
"11/2020"",""93.89"",""94.30"",""91.51"",""91.87"
"10/2020"",""93.80"",""94.10"",""92.47"",""94.04"
"09/2020"",""92.18"",""94.74"",""91.75"",""93.89"
"08/2020"",""93.46"",""93.99"",""91.99"",""92.14"
"07/2020"",""97.39"",""97.62"",""92.55"",""93.35"
"06/2020"",""98.30"",""98.32"",""95.72"",""97.39"
"05/2020"",""99.13"",""100.56"",""97.95"",""98.34"
"04/2020"",""99.01"",""100.93"",""98.81"",""99.02"
"03/2020"",""98.12"",""102.99"",""94.65"",""99.05"
"02/2020"",""97.37"",""99.91"",""97.41"",""98.13"
"01/2020"",""96.50"",""97.10"",""96.42"",""96.50"
"12/2019"",""98.27"",""98.38"",""96.36"",""96.39"
"11/2019"",""97.30"",""98.54"",""97.11"",""98.27"
"10/2019"",""99.40"",""99.67"",""97.14"",""97.35"
"09/2019"",""98.83"",""99.46"",""97.86"",""99.38"
"08/2019"",""98.59"",""99.02"",""97.03"",""98.92"
"07/2019"",""96.25"",""98.68"",""96.25"",""98.52"
"06/2019"",""97.64"",""97.80"",""95.84"",""96.11"
"05/2019"",""97.53"",""98.37"",""97.03"",""97.61"
"04/2019"",""97.18"",""98.33"",""96.75"",""97.48"
"03/2019"",""96.22"",""97.71"",""95.74"",""97.28"
"02/2019"",""95.55"",""97.37"",""95.40"",""96.16"
"01/2019"",""96.40"",""96.96"",""95.03"",""95.58"
